stock_id,month_id,month_start_open_usd,month_end_close_usd,month_high_usd,month_low_usd,monthly_volume,intramonth_return,return_1m,return_3m,return_6m,intramonth_volatility,volatility_3m,volatility_6m,trading_days,avg_volume_3m,volume_ratio,price_range_ratio
US631,2021_02,21.96,22.803,25.067,20.81,5169800,0.038388,0.041924,0.34177,0.496379,0.469072,0.295136,0.359025,19,248230.0,0.947,0.193849
US631,2021_03,23.194,28.821,29.361,22.016,6060000,0.242606,0.263889,0.582878,0.851833,0.436888,0.396793,0.430813,23,256267.0,1.075,0.316667
US631,2021_04,28.956,27.985,30.062,26.725,3663000,-0.033534,-0.028992,0.278697,0.943807,0.327109,0.529296,0.384876,21,225648.0,0.738,0.115267
US631,2021_05,28.139,31.514,32.676,26.351,5140400,0.11994,0.126105,0.382008,0.854337,0.549058,0.507581,0.372469,20,225203.0,1.038,0.224784
US631,2021_06,31.864,33.419,37.256,28.891,9804800,0.048801,0.060435,0.15954,0.835411,0.515534,0.269686,0.37569,22,281942.0,1.581,0.262525
US631,2021_07,33.881,31.524,34.408,29.176,4482000,-0.069567,-0.0567,0.126453,0.440391,0.372885,0.320783,0.402323,21,294352.0,0.692,0.154435
US631,2021_08,31.851,35.808,40.064,29.232,7550300,0.124235,0.135905,0.136256,0.570314,0.543467,0.336193,0.409715,22,330865.0,1.037,0.340088
US631,2021_09,36.294,30.326,37.249,30.102,6318300,-0.164435,-0.153083,-0.092528,0.05225,0.450089,0.509706,0.392983,21,278039.0,1.033,0.196907
US631,2021_10,30.655,31.751,32.876,29.464,4068000,0.035753,0.046986,0.007219,0.134585,0.415485,0.512734,0.387713,21,271767.0,0.68,0.111315
US631,2021_11,31.779,36.654,43.319,31.442,6543400,0.153403,0.154414,0.023631,0.163107,0.562981,0.540596,0.406748,21,256511.0,1.16,0.373747
US631,2021_12,37.779,36.635,38.613,34.001,7416700,-0.030281,-0.000512,0.208037,0.096259,0.371609,0.27495,0.40541,22,273153.0,1.234,0.122084
US631,2022_01,37.123,32.082,39.101,29.809,5210600,-0.135792,-0.124304,0.010398,0.017692,0.527615,0.483757,0.445833,20,290465.0,0.815,0.250308
US631,2022_02,32.241,27.386,32.579,26.08,4330000,-0.150585,-0.14637,-0.252862,-0.235206,0.467061,0.272346,0.432897,19,256929.0,0.766,0.201573
US631,2022_03,27.677,27.386,34.26,25.911,8780100,-0.010514,0.0,-0.25248,-0.096968,0.659262,0.273359,0.386106,23,277586.0,1.438,0.301663
US631,2022_04,27.81,28.441,31.634,26.538,7223200,0.02269,0.038528,-0.113481,-0.104264,0.380516,0.337922,0.383198,20,308080.0,1.066,0.183266
